timestamp,stock_symbol,trade_volume,order_book_depth,anonymized_trader_id
2021-01-20 09:33:15.790837248-05:00,GME,2607556,26075,user-h3i8
2021-01-20 09:57:12.625649920-05:00,GME,227097,2270,user-2c4e
2021-01-20 10:04:03.468464896-05:00,GME,318276,3182,cluster-1c5d
2021-01-20 11:14:09.578303232-05:00,GME,177568,1775,user-j1k9
2021-01-20 11:19:45.464647680-05:00,GME,462410,4624,user-e1g3
2021-01-20 12:03:31.719307776-05:00,GME,130627,1306,cluster-9f4e
2021-01-20 12:17:49.543307520-05:00,GME,156355,1563,user-d9f2
2021-01-20 12:25:17.740999424-05:00,GME,225891,2258,cluster-9f4e
2021-01-20 12:26:34.661963264-05:00,GME,244169,2441,user-p8s6
2021-01-20 12:27:48.998899712-05:00,GME,288990,2889,user-h3i8
2021-01-20 12:42:34.700483072-05:00,GME,276016,2760,user-l6n7
2021-01-20 12:51:26.508296192-05:00,GME,346490,3464,user-2c4e
2021-01-20 13:02:11.644551936-05:00,GME,270881,2708,user-l6n7
2021-01-20 13:04:28.806023936-05:00,GME,270504,2705,cluster-3b8a
2021-01-20 13:30:44.362983680-05:00,GME,272234,2722,cluster-1c5d
2021-01-20 13:43:51.749689088-05:00,GME,134792,1347,cluster-9f4e
2021-01-20 13:58:38.663382272-05:00,GME,465839,4658,user-l6n7
2021-01-20 14:00:03.079997696-05:00,GME,101072,1010,cluster-9f4e
2021-01-20 14:18:20.843641600-05:00,GME,245894,2458,user-m7o5
2021-01-20 14:25:26.823082496-05:00,GME,386971,3869,user-m7o5
2021-01-20 15:53:12.130891520-05:00,GME,157227,1572,cluster-1c5d
2021-01-20 15:54:52.006958848-05:00,GME,362213,3622,cluster-1c5d
2021-01-20 16:14:20.841945856-05:00,GME,3171136,31711,user-d9f2
2021-01-20 16:23:31.320773632-05:00,GME,296394,2963,user-l6n7
2021-01-20 16:24:59.987223808-05:00,GME,318411,3184,user-h3i8
2021-01-20 16:26:15.524628480-05:00,GME,114507,1145,cluster-1c5d
2021-01-20 16:57:01.796790272-05:00,GME,388835,3888,user-l6n7
2021-01-20 16:59:31.154459904-05:00,GME,258415,2584,user-2c4e
2021-01-20 17:05:16.271553792-05:00,GME,326247,3262,cluster-7a2b
2021-01-20 17:29:19.607720960-05:00,GME,189228,1892,cluster-7a2b
2021-01-20 17:34:52.934853120-05:00,GME,1702850,17028,user-d9f2
2021-01-20 17:36:18.774907392-05:00,GME,416835,4168,cluster-9f4e
2021-01-20 17:53:28.254120448-05:00,GME,297196,2971,user-2c4e
2021-01-20 17:58:05.457354752-05:00,GME,174838,1748,user-e1g3
2021-01-20 18:00:59.933189632-05:00,GME,317466,3174,cluster-1c5d
2021-01-20 18:14:54.133286656-05:00,GME,437671,4376,user-h3i8
2021-01-20 18:21:03.452040960-05:00,GME,217193,2171,cluster-7a2b
2021-01-20 19:45:09.644600064-05:00,GME,255929,2559,cluster-3b8a
2021-01-20 20:16:23.163722752-05:00,GME,282465,2824,user-e1g3
2021-01-20 20:21:10.298306048-05:00,GME,373439,3734,cluster-3b8a
2021-01-20 20:21:32.137897984-05:00,GME,270386,2703,user-l6n7
2021-01-20 20:53:54.111966976-05:00,GME,345513,3455,cluster-3b8a
2021-01-20 21:13:50.600683776-05:00,GME,248767,2487,user-2c4e
2021-01-20 21:15:25.970005504-05:00,GME,311924,3119,cluster-7a2b
2021-01-20 21:18:33.613828864-05:00,GME,280876,2808,cluster-7a2b
2021-01-20 21:33:27.324404736-05:00,GME,285885,2858,user-d9f2
2021-01-20 21:43:59.859768832-05:00,GME,317076,3170,cluster-3b8a
2021-01-20 22:07:48.090715648-05:00,GME,368862,3688,user-p8s6
2021-01-20 22:09:50.962681344-05:00,GME,439733,4397,user-l6n7
2021-01-20 22:16:04.755907840-05:00,GME,212362,2123,cluster-1c5d
2021-01-21 00:36:11.856141824-05:00,GME,309461,3094,cluster-9f4e
2021-01-21 00:44:21.962683904-05:00,GME,302515,3025,cluster-1c5d
2021-01-21 00:49:21.175890432-05:00,GME,454241,4542,cluster-7a2b
2021-01-21 00:58:42.091133184-05:00,GME,220196,2201,cluster-1c5d
2021-01-21 01:06:13.920311808-05:00,GME,201694,2016,user-j1k9
2021-01-21 01:23:31.314829568-05:00,GME,263843,2638,cluster-9f4e
2021-01-21 01:25:27.534985984-05:00,GME,372899,3728,user-p8s6
2021-01-21 01:58:29.889759488-05:00,GME,400985,4009,cluster-9f4e
2021-01-21 02:27:25.871999488-05:00,GME,203497,2034,cluster-7a2b
2021-01-21 02:30:38.118238464-05:00,GME,261005,2610,cluster-1c5d
2021-01-21 02:41:16.828018944-05:00,GME,224805,2248,cluster-7a2b
2021-01-21 02:47:08.003647744-05:00,GME,73207,732,cluster-3b8a
2021-01-21 03:01:47.015994112-05:00,GME,399023,3990,cluster-3b8a
2021-01-21 03:01:53.224297216-05:00,GME,424879,4248,cluster-9f4e
2021-01-21 03:09:49.930273024-05:00,GME,355705,3557,cluster-3b8a
2021-01-21 03:40:26.575139840-05:00,GME,337234,3372,cluster-9f4e
2021-01-21 03:45:20.811603968-05:00,GME,358082,3580,cluster-3b8a
2021-01-21 03:53:28.498241792-05:00,GME,334700,3347,user-d9f2
2021-01-21 04:02:30.473280512-05:00,GME,216492,2164,user-e1g3
2021-01-21 04:31:40.780713472-05:00,GME,220401,2204,cluster-9f4e
2021-01-21 04:42:38.604660736-05:00,GME,228148,2281,cluster-9f4e
2021-01-21 04:44:35.308322048-05:00,GME,304553,3045,cluster-7a2b
2021-01-21 04:45:56.024543232-05:00,GME,275431,2754,user-j1k9
2021-01-21 05:08:24.044252160-05:00,GME,315912,3159,user-e1g3
2021-01-21 05:22:33.877518336-05:00,GME,285126,2851,user-m7o5
2021-01-21 05:45:32.581018624-05:00,GME,351848,3518,user-h3i8
2021-01-21 05:48:09.340541440-05:00,GME,328381,3283,cluster-7a2b
2021-01-21 06:02:44.047727872-05:00,GME,463910,4639,cluster-1c5d
2021-01-21 06:08:43.914514432-05:00,GME,2715727,27157,user-e1g3
2021-01-21 06:20:02.623519744-05:00,GME,220811,2208,cluster-7a2b
2021-01-21 06:31:30.882113792-05:00,GME,286744,2867,cluster-7a2b
2021-01-21 06:45:18.199202560-05:00,GME,218610,2186,cluster-9f4e
2021-01-21 07:25:06.789663232-05:00,GME,315586,3155,user-e1g3
2021-01-21 07:38:14.411925504-05:00,GME,313288,3132,user-d9f2
2021-01-21 07:42:41.766194688-05:00,GME,308140,3081,cluster-3b8a
2021-01-21 07:52:47.405076480-05:00,GME,279170,2791,user-h3i8
2021-01-21 07:54:41.800512-05:00,GME,273149,2731,user-e1g3
2021-01-21 07:57:38.844856064-05:00,GME,246555,2465,cluster-3b8a
2021-01-21 08:30:40.219283968-05:00,GME,411030,4110,cluster-9f4e
2021-01-21 08:52:24.925833984-05:00,GME,247495,2474,user-p8s6
2021-01-21 08:53:42.023627776-05:00,GME,453518,4535,user-j1k9
2021-01-21 08:55:13.335540992-05:00,GME,349271,3492,user-e1g3
2021-01-21 09:27:28.229846528-05:00,GME,377923,3779,cluster-7a2b
2021-01-21 09:34:42.023865856-05:00,GME,333027,3330,cluster-7a2b
2021-01-21 09:34:53.772682240-05:00,GME,219808,2198,user-2c4e
2021-01-21 09:59:35.086762496-05:00,GME,390274,3902,cluster-7a2b
2021-01-21 10:12:51.147886592-05:00,GME,230467,2304,cluster-7a2b
2021-01-21 12:32:39.031034880-05:00,GME,246428,2464,user-h3i8
2021-01-21 12:36:36.746206720-05:00,GME,472073,4720,user-h3i8
2021-01-21 12:43:45.879705088-05:00,GME,427566,4275,user-e1g3
2021-01-21 13:07:10.685689856-05:00,GME,318719,3187,cluster-7a2b
2021-01-21 13:08:26.233072896-05:00,GME,1970952,19709,cluster-3b8a
2021-01-21 13:10:21.824180736-05:00,GME,321060,3210,user-l6n7
2021-01-21 13:20:25.566278656-05:00,GME,50000,500,cluster-9f4e
2021-01-21 13:35:44.106225664-05:00,GME,260221,2602,cluster-1c5d
2021-01-21 14:22:49.838189568-05:00,GME,338994,3389,cluster-1c5d
2021-01-21 14:39:28.160218368-05:00,GME,271128,2711,cluster-1c5d
2021-01-21 14:46:38.019807488-05:00,GME,501066,5010,user-2c4e
2021-01-21 15:45:32.683997440-05:00,GME,292293,2922,user-l6n7
2021-01-21 16:25:34.814422784-05:00,GME,329604,3296,cluster-1c5d
2021-01-21 16:34:23.794891264-05:00,GME,305436,3054,cluster-3b8a
2021-01-21 16:48:43.972522752-05:00,GME,347715,3477,user-2c4e
2021-01-21 16:53:40.509900800-05:00,GME,255805,2558,user-h3i8
2021-01-21 17:11:42.832006656-05:00,GME,271232,2712,user-j1k9
2021-01-21 18:12:29.714720-05:00,GME,259342,2593,user-h3i8
2021-01-21 18:28:56.726351616-05:00,GME,418175,4181,cluster-7a2b
2021-01-21 18:34:38.790597888-05:00,GME,389346,3893,user-p8s6
2021-01-21 18:39:13.281793024-05:00,GME,368591,3685,cluster-1c5d
2021-01-21 18:57:14.350946304-05:00,GME,216046,2160,user-m7o5
2021-01-21 18:59:12.726192128-05:00,GME,322267,3222,user-2c4e
2021-01-21 19:29:50.797109504-05:00,GME,226816,2268,cluster-9f4e
2021-01-21 19:34:50.272887552-05:00,GME,288190,2881,user-e1g3
2021-01-21 19:39:30.009263872-05:00,GME,424358,4243,user-2c4e
2021-01-21 19:47:43.675602944-05:00,GME,306365,3063,user-h3i8
2021-01-21 19:49:30.255334400-05:00,GME,352260,3522,user-p8s6
2021-01-21 19:56:54.445980160-05:00,GME,219033,2190,user-p8s6
2021-01-21 19:59:46.882834432-05:00,GME,334645,3346,cluster-9f4e
2021-01-21 20:41:38.827077632-05:00,GME,357152,3571,cluster-7a2b
2021-01-21 21:09:15.842791680-05:00,GME,293755,2937,user-j1k9
2021-01-21 21:09:53.961668352-05:00,GME,317994,3179,cluster-7a2b
2021-01-21 21:10:53.671750144-05:00,GME,325582,3255,cluster-1c5d
2021-01-21 21:15:10.209605120-05:00,GME,141270,1412,user-p8s6
2021-01-21 21:23:00.298834688-05:00,GME,183070,1830,cluster-7a2b
2021-01-21 21:32:30.120508672-05:00,GME,275495,2754,cluster-3b8a
2021-01-21 22:06:16.874470400-05:00,GME,93934,939,cluster-1c5d
2021-01-21 22:25:06.238233600-05:00,GME,310354,3103,user-p8s6
