timestamp,stock_symbol,activity_level
2021-01-20 09:09:33.475620864-05:00,GME,13585
2021-01-20 09:11:43.587018240-05:00,GME,17577
2021-01-20 09:12:29.989773824-05:00,GME,9654
2021-01-20 09:20:58.885703936-05:00,GME,9944
2021-01-20 09:32:19.259098880-05:00,GME,21798
2021-01-20 09:43:23.141447168-05:00,GME,16684
2021-01-20 09:53:58.684377856-05:00,GME,5145
2021-01-20 11:07:55.388410112-05:00,GME,8982
2021-01-20 11:14:21.889920-05:00,GME,9902
2021-01-20 11:18:03.850045696-05:00,GME,14298
2021-01-20 11:32:23.823444736-05:00,GME,11024
2021-01-20 11:33:44.027809280-05:00,GME,21057
2021-01-20 11:38:54.270542592-05:00,GME,6548
2021-01-20 11:46:38.695013120-05:00,GME,8726
2021-01-20 12:17:20.756972288-05:00,GME,9040
2021-01-20 12:44:38.531208448-05:00,GME,19583
2021-01-20 12:44:57.292576-05:00,GME,19122
2021-01-20 13:05:38.331115776-05:00,GME,17399
2021-01-20 13:05:41.596782592-05:00,GME,10344
2021-01-20 13:29:56.553934080-05:00,GME,10942
2021-01-20 13:36:46.506028544-05:00,GME,13733
2021-01-20 13:45:30.346213632-05:00,GME,16014
2021-01-20 13:47:24.660980736-05:00,GME,17106
2021-01-20 13:51:26.329191936-05:00,GME,13401
2021-01-20 14:01:08.718192384-05:00,GME,11564
2021-01-20 14:21:16.825048832-05:00,GME,13293
2021-01-20 14:58:43.708174080-05:00,GME,21837
2021-01-20 14:59:54.289412864-05:00,GME,7640
2021-01-20 15:05:57.891413504-05:00,GME,20913
2021-01-20 15:09:58.600892416-05:00,GME,9051
2021-01-20 15:40:04.276094464-05:00,GME,18489
2021-01-20 15:41:35.822928128-05:00,GME,6240
2021-01-20 16:39:31.450308864-05:00,GME,144016
2021-01-20 16:41:25.240878336-05:00,GME,16800
2021-01-20 16:50:04.388157184-05:00,GME,11659
2021-01-20 17:27:30.376054784-05:00,GME,5293
2021-01-20 17:49:47.430543104-05:00,GME,16813
2021-01-20 18:13:50.189658112-05:00,GME,22056
2021-01-20 19:03:42.221347328-05:00,GME,15907
2021-01-20 19:07:08.286309632-05:00,GME,18771
2021-01-20 19:07:59.221600256-05:00,GME,12214
2021-01-20 19:37:18.569395200-05:00,GME,17349
2021-01-20 19:38:25.695678464-05:00,GME,10125
2021-01-20 19:48:14.530096896-05:00,GME,25215
2021-01-20 19:54:44.995352576-05:00,GME,7653
2021-01-20 19:54:58.958818304-05:00,GME,5731
2021-01-20 19:56:43.007440896-05:00,GME,17300
2021-01-20 20:05:57.253668352-05:00,GME,12093
2021-01-20 21:04:07.418076928-05:00,GME,19456
2021-01-20 21:26:35.343675392-05:00,GME,14449
2021-01-20 21:44:34.787278336-05:00,GME,16679
2021-01-20 21:46:38.491131136-05:00,GME,8820
2021-01-20 22:06:16.331451392-05:00,GME,12095
2021-01-20 22:39:15.890545408-05:00,GME,15767
2021-01-20 22:39:21.500632064-05:00,GME,18474
2021-01-20 22:44:55.778279936-05:00,GME,21877
2021-01-20 22:45:36.311261440-05:00,GME,5789
2021-01-20 22:47:17.588465152-05:00,GME,19620
2021-01-20 23:05:58.751543552-05:00,GME,17126
2021-01-20 23:14:11.045860352-05:00,GME,13390
2021-01-20 23:27:48.645566720-05:00,GME,18775
2021-01-20 23:32:46.702874112-05:00,GME,22252
2021-01-21 00:08:29.190479360-05:00,GME,21168
2021-01-21 00:26:14.018787072-05:00,GME,22491
2021-01-21 00:37:56.906744064-05:00,GME,18093
